[ 2026-05-17 12:51:28,216 ] 20 root - INFO - Initiate the data ingestion
[ 2026-05-17 12:51:38,705 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-05-17 12:51:38,706 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-17 12:51:38,706 ] 75 root - INFO - Exporting train and test file path.
[ 2026-05-17 12:51:40,080 ] 84 root - INFO - Exported train and test file path.
[ 2026-05-17 12:51:40,081 ] 22 root - INFO - Data Initiation Completed
[ 2026-05-17 12:51:40,131 ] 26 root - INFO - Initiate the data Validation
[ 2026-05-17 12:51:40,437 ] 32 root - INFO - Required number of columns:2
[ 2026-05-17 12:51:40,437 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-17 12:51:40,437 ] 32 root - INFO - Required number of columns:2
[ 2026-05-17 12:51:40,437 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-17 12:51:41,004 ] 28 root - INFO - data Validation Completed
[ 2026-05-17 12:51:41,012 ] 31 root - INFO - data Transformation started
[ 2026-05-17 12:51:41,012 ] 54 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-17 12:51:41,012 ] 56 root - INFO - Starting data transformation
[ 2026-05-17 12:51:41,121 ] 39 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-17 12:51:41,121 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-17 12:51:41,157 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-17 12:51:41,162 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-17 12:51:41,162 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-17 12:51:41,165 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-17 12:51:41,170 ] 35 root - INFO - data Transformation completed
[ 2026-05-17 12:51:41,170 ] 37 root - INFO - Model Training sstared
